ClimateZoneAnd,pro_MAT_mod,pred_median_c,pred_median_14c
warm temperate,-8.78750038146973,1.2147259454581842,-246.77013832228033
tropical,-8.78750038146973,1.7561360394342058,-249.52765880800916
cold temperate,-8.78750038146973,1.2716220584739062,-204.83932701299238
arid,-8.78750038146973,0.6845274552492302,-286.70381526723344
warm temperate,-6.877631940339745,1.2112039525908849,-243.7025841196022
tropical,-6.877631940339745,1.7403914835553718,-244.53934956941296
cold temperate,-6.877631940339745,1.2697664557616262,-202.13446225173044
arid,-6.877631940339745,0.6835541585309438,-284.28260560981437
warm temperate,-4.9677634992097595,1.221537524886866,-242.56869046800696
tropical,-4.9677634992097595,1.7572703297624404,-242.6256667472576
cold temperate,-4.9677634992097595,1.2884826379865366,-201.12605729287503
arid,-4.9677634992097595,0.683464399105013,-283.18399406127963
warm temperate,-3.0578950580797732,1.1325952401715802,-286.16596927224373
tropical,-3.0578950580797732,1.7334100380888517,-295.5833192024455
cold temperate,-3.0578950580797732,1.1300139859237297,-259.1202962546083
arid,-3.0578950580797732,0.6650011197025534,-302.6301422166282
warm temperate,-1.148026616949788,1.3326392907074363,-265.8977838420416
tropical,-1.148026616949788,1.7776635024875322,-283.89455559015937
cold temperate,-1.148026616949788,1.3795152606332828,-238.90662696699528
arid,-1.148026616949788,0.8267137657615461,-280.99336442212257
warm temperate,0.7618418241801983,1.3736268063791113,-261.6718873661547
tropical,0.7618418241801983,1.789326629195336,-280.15165298316725
cold temperate,0.7618418241801983,1.4383088294458337,-234.05729312726152
arid,0.7618418241801983,0.840029948485349,-269.4586666862353
warm temperate,2.6717102653101836,1.4712631175096986,-239.764065532504
tropical,2.6717102653101836,1.8522633589722264,-269.5541154243569
cold temperate,2.6717102653101836,1.5206656406389907,-211.85645673959775
arid,2.6717102653101836,0.9660913713389958,-253.51218132215786
warm temperate,4.581578706440169,1.3554080503121901,-244.0041175260101
tropical,4.581578706440169,1.9108315263652018,-276.48233100548714
cold temperate,4.581578706440169,1.4391566914863985,-216.18543776493857
arid,4.581578706440169,0.6924717129217903,-237.05822444868951
warm temperate,6.491447147570154,1.3794498443746266,-194.0951668436102
tropical,6.491447147570154,1.6134373897972663,-250.6288472458291
cold temperate,6.491447147570154,1.608483443528134,-173.47853275556506
arid,6.491447147570154,0.6540044380918201,-178.66875639762216
warm temperate,8.40131558870014,1.1920318016987808,-150.60992853524394
tropical,8.40131558870014,1.638656320370922,-223.89890538385376
cold temperate,8.40131558870014,1.3310629987632545,-131.89465613010628
arid,8.40131558870014,0.5138210112583725,-161.88319838537512
warm temperate,10.311184029830127,1.1498850947732255,-161.77200462524394
tropical,10.311184029830127,2.774937762608356,-217.76724477830857
cold temperate,10.311184029830127,1.2853557746662683,-139.5645290429103
arid,10.311184029830127,0.5033263573116504,-181.6160766865131
warm temperate,12.22105247096011,1.5216964697560793,-158.1251678009329
tropical,12.22105247096011,3.3715342027012305,-252.5886886114514
cold temperate,12.22105247096011,1.339529270301638,-128.9831629327748
arid,12.22105247096011,0.5039005362659328,-160.9287301953734
warm temperate,14.130920912090097,1.4684940034960392,-146.66333801768212
tropical,14.130920912090097,3.477690652837041,-219.02090951345872
cold temperate,14.130920912090097,1.1697716453313598,-121.17762120465078
arid,14.130920912090097,0.4943668814477497,-144.31140558506968
warm temperate,16.04078935322008,1.3087032646364247,-143.66234696263757
tropical,16.04078935322008,2.9736771731168883,-228.97698515851692
cold temperate,16.04078935322008,0.9894807745618027,-120.99074898081692
arid,16.04078935322008,0.4257692687944415,-136.2437435203722
warm temperate,17.950657794350068,1.309768284334047,-171.89294711414897
tropical,17.950657794350068,2.5456420690906385,-224.4897413250509
cold temperate,17.950657794350068,1.0802600768907422,-160.83687620936098
arid,17.950657794350068,0.5392505211640847,-176.20754188872218
warm temperate,19.86052623548005,0.8074577312754001,-142.13913368274365
tropical,19.86052623548005,0.7355635608462159,-154.98141579958593
cold temperate,19.86052623548005,0.8106922830869037,-136.3280395127556
arid,19.86052623548005,0.510834211544366,-136.35527263841507
warm temperate,21.77039467661004,0.8802708191831738,-96.06663670693479
tropical,21.77039467661004,0.7762646129377324,-144.9021383384359
cold temperate,21.77039467661004,0.9708228125659653,-80.1608352703524
arid,21.77039467661004,0.5236141908484967,-77.98231061181586
warm temperate,23.680263117740022,0.8894816096442922,-67.91103055350669
tropical,23.680263117740022,0.8247278643443696,-100.71128795203235
cold temperate,23.680263117740022,0.9547217728311946,-45.9114439396439
arid,23.680263117740022,0.5154510192209885,-62.547439831830786
warm temperate,25.59013155887001,0.8380538740073925,-118.58176207631757
tropical,25.59013155887001,0.7170894655037046,-170.93097470830045
cold temperate,25.59013155887001,0.9150048815182582,-85.10699203316948
arid,25.59013155887001,0.5397577170137426,-100.54991048262684
warm temperate,27.5,1.0340206511667076,-77.1122640785168
tropical,27.5,1.0091109716176407,-113.17732768086317
cold temperate,27.5,1.0452434014160878,-41.370437579492254
arid,27.5,0.5938342046225922,-64.24751384063589
