entry_name,site_name,plot_name,pro_name,pro_note,pro_lat,pro_long
vonFromm_2022,Hopetown_8,2,Hopetown_8_2,,-29.7781,23.933
vonFromm_2022,Martinho_5,1,Martinho_5_1,,-16.17429833,38.96290833
vonFromm_2022,Martinho_12,1,Martinho_12_1,,-16.11628667,38.98612833
vonFromm_2022,Namasuba_1,7,Namasuba_1_7,,0.49293199,32.26567841
vonFromm_2022,Namasuba_1,10,Namasuba_1_10,,0.49572,32.26797867
vonFromm_2022,Namasuba_2,4,Namasuba_2_4,,0.51490003,32.26695633
vonFromm_2022,Namasuba_2,5,Namasuba_2_5,,0.51411301,32.27025223
vonFromm_2022,Namasuba_3,1,Namasuba_3_1,,0.53347302,32.26804352
vonFromm_2022,Namasuba_4,9,Namasuba_4_9,,0.55520201,32.26136017
vonFromm_2022,Namasuba_5,10,Namasuba_5_10,,0.49879301,32.28332138
vonFromm_2022,Namasuba_6,7,Namasuba_6_7,,0.50801003,32.28722
vonFromm_2022,Namasuba_7,8,Namasuba_7_8,,0.54031301,32.28696823
vonFromm_2022,Namasuba_7,9,Namasuba_7_9,,0.53937298,32.29005432
vonFromm_2022,Namasuba_8,5,Namasuba_8_5,,0.565265,32.29267502
vonFromm_2022,Namasuba_8,8,Namasuba_8_8,,0.56025702,32.28472519
vonFromm_2022,Namasuba_8,9,Namasuba_8_9,,0.55812198,32.28888702
vonFromm_2022,Namasuba_9,2,Namasuba_9_2,,0.49693999,32.30392838
vonFromm_2022,Namasuba_9,7,Namasuba_9_7,,0.49724999,32.3050766
vonFromm_2022,Namasuba_12,3,Namasuba_12_3,,0.55994499,32.30693817
vonFromm_2022,Namasuba_12,10,Namasuba_12_10,,0.55493498,32.30748367
vonFromm_2022,Namasuba_14,1,Namasuba_14_1,,0.51074201,32.33942032
vonFromm_2022,Namasuba_14,5,Namasuba_14_5,,0.50930202,32.33616638
vonFromm_2022,Namasuba_14,9,Namasuba_14_9,,0.51394999,32.33401489
vonFromm_2022,Namasuba_15,5,Namasuba_15_5,,0.52495998,32.33211136
vonFromm_2022,Namasuba_15,9,Namasuba_15_9,,0.52944702,32.33204269
vonFromm_2022,Namasuba_16,5,Namasuba_16_5,,0.56059003,32.33074188
vonFromm_2022,Namasuba_16,9,Namasuba_16_9,,0.56426501,32.32992935
vonFromm_2022,Hoima_1,6,Hoima_1_6,,1.452473333,31.46744833
vonFromm_2022,Hoima_1,8,Hoima_1_8,,1.457278333,31.472245
vonFromm_2022,Hoima_6,7,Hoima_6_7,,1.481888333,31.49498167
vonFromm_2022,Hoima_8,8,Hoima_8_8,,1.52404,31.48545833
vonFromm_2022,Hoima_9,6,Hoima_9_6,,1.461373333,31.51262
vonFromm_2022,Hoima_13,4,Hoima_13_4,,1.45752,31.533415
vonFromm_2022,Hoima_16,8,Hoima_16_8,,1.52303,31.53856333
vonFromm_2022,Monga_16,1,Monga_16_1,,-16.04378333,28.32967
vonFromm_2022,Didy_1,2,Didy_1_2,,-18.3426,48.6886
vonFromm_2022,Didy_1,5,Didy_1_5,,-18.3452,48.6894
vonFromm_2022,Didy_1,8,Didy_1_8,,-18.3482,48.6914
vonFromm_2022,Didy_1,10,Didy_1_10,,-18.3417,48.6911
vonFromm_2022,Didy_2,2,Didy_2_2,,-18.3113,48.6871
vonFromm_2022,Didy_2,3,Didy_2_3,,-18.3158,48.6861
vonFromm_2022,Didy_2,6,Didy_2_6,,-18.3145,48.689
vonFromm_2022,Didy_2,7,Didy_2_7,,-18.3171,48.6913
vonFromm_2022,Didy_2,8,Didy_2_8,,-18.3108,48.6868
vonFromm_2022,Didy_3,3,Didy_3_3,,-18.3041,48.6889
vonFromm_2022,Didy_3,5,Didy_3_5,,-18.301,48.6864
vonFromm_2022,Didy_3,7,Didy_3_7,,-18.3016,48.6897
vonFromm_2022,Didy_4,1,Didy_4_1,,-18.2759,48.6875
vonFromm_2022,Didy_4,3,Didy_4_3,,-18.2763,48.6856
vonFromm_2022,Didy_4,4,Didy_4_4,,-18.2806,48.6847
vonFromm_2022,Didy_4,5,Didy_4_5,,-18.2833,48.688
vonFromm_2022,Didy_4,8,Didy_4_8,,-18.2811,48.6918
vonFromm_2022,Didy_4,9,Didy_4_9,,-18.2798,48.6881
vonFromm_2022,Didy_4,10,Didy_4_10,,-18.2774,48.6938
vonFromm_2022,Didy_5,3,Didy_5_3,,-18.3374,48.7164
vonFromm_2022,Didy_5,7,Didy_5_7,,-18.3377,48.7087
vonFromm_2022,Didy_6,2,Didy_6_2,,-18.3233,48.7092
vonFromm_2022,Didy_6,4,Didy_6_4,,-18.3228,48.7156
vonFromm_2022,Didy_6,5,Didy_6_5,,-18.3216,48.7144
vonFromm_2022,Didy_6,7,Didy_6_7,,-18.317,48.7119
vonFromm_2022,Didy_6,8,Didy_6_8,,-18.3219,48.7139
vonFromm_2022,Didy_6,9,Didy_6_9,,-18.3216,48.7118
vonFromm_2022,Didy_6,10,Didy_6_10,,-18.318,48.7157
vonFromm_2022,Didy_7,3,Didy_7_3,,-18.2955,48.7147
vonFromm_2022,Didy_7,4,Didy_7_4,,-18.2946,48.7112
vonFromm_2022,Didy_7,5,Didy_7_5,,-18.2959,48.7105
vonFromm_2022,Didy_7,6,Didy_7_6,,-18.2948,48.7069
vonFromm_2022,Didy_8,5,Didy_8_5,,-18.2787,48.7098
vonFromm_2022,Didy_8,8,Didy_8_8,,-18.2751,48.711
vonFromm_2022,Didy_9,1,Didy_9_1,,-18.349,48.7392
vonFromm_2022,Didy_9,2,Didy_9_2,,-18.3434,48.7347
vonFromm_2022,Didy_9,3,Didy_9_3,,-18.3477,48.7403
vonFromm_2022,Didy_9,5,Didy_9_5,,-18.3427,48.7331
vonFromm_2022,Didy_9,7,Didy_9_7,,-18.3491,48.7353
vonFromm_2022,Didy_9,8,Didy_9_8,,-18.3483,48.7346
vonFromm_2022,Didy_9,10,Didy_9_10,,-18.3409,48.7391
vonFromm_2022,Didy_10,2,Didy_10_2,,-18.32,48.7354
vonFromm_2022,Didy_10,3,Didy_10_3,,-18.3213,48.7376
vonFromm_2022,Didy_10,7,Didy_10_7,,-18.3232,48.738
vonFromm_2022,Didy_10,8,Didy_10_8,,-18.3185,48.7375
vonFromm_2022,Didy_10,9,Didy_10_9,,-18.3188,48.7358
vonFromm_2022,Didy_11,2,Didy_11_2,,-18.297,48.7418
vonFromm_2022,Didy_11,4,Didy_11_4,,-18.2977,48.7365
vonFromm_2022,Didy_11,10,Didy_11_10,,-18.3009,48.736
vonFromm_2022,Didy_12,1,Didy_12_1,,-18.2763,48.7363
vonFromm_2022,Didy_12,2,Didy_12_2,,-18.2724,48.7349
vonFromm_2022,Didy_12,3,Didy_12_3,,-18.2748,48.7321
vonFromm_2022,Didy_12,4,Didy_12_4,,-18.2749,48.7372
vonFromm_2022,Didy_12,7,Didy_12_7,,-18.2715,48.7338
vonFromm_2022,Didy_12,9,Didy_12_9,,-18.2716,48.7336
vonFromm_2022,Didy_13,5,Didy_13_5,,-18.3392,48.7638
vonFromm_2022,Didy_13,6,Didy_13_6,,-18.338,48.7624
vonFromm_2022,Didy_13,8,Didy_13_8,,-18.3395,48.7613
vonFromm_2022,Didy_13,10,Didy_13_10,,-18.3433,48.7611
vonFromm_2022,Didy_14,1,Didy_14_1,,-18.3122,48.7623
vonFromm_2022,Didy_14,4,Didy_14_4,,-18.3182,48.7582
vonFromm_2022,Didy_14,6,Didy_14_6,,-18.3086,48.7584
vonFromm_2022,Didy_14,7,Didy_14_7,,-18.3128,48.7611
vonFromm_2022,Didy_14,8,Didy_14_8,,-18.3164,48.7602
vonFromm_2022,Didy_14,9,Didy_14_9,,-18.3162,48.7614
vonFromm_2022,Didy_14,10,Didy_14_10,,-18.3125,48.7614
vonFromm_2022,Didy_15,2,Didy_15_2,,-18.3018,48.7488
vonFromm_2022,Didy_15,3,Didy_15_3,,-18.3024,48.7572
vonFromm_2022,Didy_15,5,Didy_15_5,,-18.303,48.7573
vonFromm_2022,Didy_15,8,Didy_15_8,,-18.2992,48.7506
vonFromm_2022,Didy_15,10,Didy_15_10,,-18.2949,48.7535
vonFromm_2022,Didy_16,2,Didy_16_2,,-18.2736,48.7581
vonFromm_2022,Didy_16,3,Didy_16_3,,-18.2809,48.7558
vonFromm_2022,Didy_16,4,Didy_16_4,,-18.2813,48.7579
vonFromm_2022,Didy_16,7,Didy_16_7,,-18.2765,48.763
vonFromm_2022,Didy_16,11,Didy_16_11,,-18.2754,48.763
vonFromm_2022,Nyalagari_2,7,Nyalagari_2_7,,13.393575,1.735128333
vonFromm_2022,Nyalagari_3,6,Nyalagari_3_6,,13.418405,1.731593333
vonFromm_2022,Nyalagari_4,2,Nyalagari_4_2,,13.43555333,1.738738333
vonFromm_2022,Nyalagari_7,2,Nyalagari_7_2,,13.41339833,1.754711667
vonFromm_2022,Nyalagari_10,1,Nyalagari_10_1,,13.38991667,1.77919
vonFromm_2022,Nyalagari_12,2,Nyalagari_12_2,,13.43786,1.777961667
vonFromm_2022,Nyalagari_13,1,Nyalagari_13_1,,13.37199833,1.804516667
vonFromm_2022,Nyalagari_14,2,Nyalagari_14_2,,13.38568167,1.798298333
vonFromm_2022,Nyalagari_15,2,Nyalagari_15_2,,13.404805,1.802671667
vonFromm_2022,Nyalagari_16,1,Nyalagari_16_1,,13.43122,1.799123333
vonFromm_2022,Pampaida_1,3,Pampaida_1_3,,11.28078,8.123596667
vonFromm_2022,Pampaida_5,1,Pampaida_5_1,,11.29146167,8.145926667
vonFromm_2022,Pampaida_6,2,Pampaida_6_2,,11.31266,8.148253333
vonFromm_2022,Pampaida_7,1,Pampaida_7_1,,11.33524167,8.150375
vonFromm_2022,Pampaida_9,1,Pampaida_9_1,,11.28065833,8.166768333
vonFromm_2022,Pampaida_14,1,Pampaida_14_1,,11.30931667,8.19152
vonFromm_2022,Pampaida_16,1,Pampaida_16_1,,11.34667,8.194856667
vonFromm_2022,Kutigi_2,2,Kutigi_2_2,,9.191568333,5.671851667
vonFromm_2022,Kutigi_9,4,Kutigi_9_4,,9.17576,5.711345
vonFromm_2022,Kutigi_15,3,Kutigi_15_3,,9.217246667,5.73423
vonFromm_2022,SanzaPompo_1,1,SanzaPompo_1_1,,-7.37775,15.68749167
vonFromm_2022,SanzaPompo_3,1,SanzaPompo_3_1,,-7.331673333,15.687965
vonFromm_2022,SanzaPompo_7,1,SanzaPompo_7_1,,-7.340811667,15.71909667
vonFromm_2022,SanzaPompo_10,1,SanzaPompo_10_1,,-7.361311667,15.73790167
vonFromm_2022,Mucope_1,1,Mucope_1_1,,-16.26941333,14.883505
vonFromm_2022,Mucope_7,1,Mucope_7_1,,-16.225095,14.89889
vonFromm_2022,Mucope_9,1,Mucope_9_1,,-16.26354667,14.930115
vonFromm_2022,Mucope_12,1,Mucope_12_1,,-16.203565,14.92257333
vonFromm_2022,Mucope_13,1,Mucope_13_1,,-16.268775,14.958435
vonFromm_2022,Mucope_16,1,Mucope_16_1,,-16.20006,14.95128667
vonFromm_2022,Bimbe_2,1,Bimbe_2_1,,-11.75044833,15.87774167
vonFromm_2022,Bimbe_7,1,Bimbe_7_1,,-11.72861167,15.90537
vonFromm_2022,Bimbe_11,1,Bimbe_11_1,,-11.72815,15.92955167
vonFromm_2022,Bimbe_12,1,Bimbe_12_1,,-11.70322333,15.92522667
vonFromm_2022,Bimbe_15,1,Bimbe_15_1,,-11.72477,15.94343
vonFromm_2022,Luimbale_1,1,Luimbale_1_1,,-12.35919,15.14388333
vonFromm_2022,Luimbale_5,1,Luimbale_5_1,,-12.3554,15.16175667
vonFromm_2022,Luimbale_8,1,Luimbale_8_1,,-12.297935,15.17505
vonFromm_2022,Luimbale_12,1,Luimbale_12_1,,-12.295335,15.19546833
vonFromm_2022,Luimbale_14,1,Luimbale_14_1,,-12.32752333,15.22182667
vonFromm_2022,Luimbale_15,1,Luimbale_15_1,,-12.31476833,15.21382333
vonFromm_2022,Paje_12,1,Paje_12_1,,-21.7232,26.4957
vonFromm_2022,Gumare_4,1,Gumare_4_1,,-19.3495,22.0128
vonFromm_2022,Gumare_6,1,Gumare_6_1,,-19.3952,22.039
vonFromm_2022,Musungwa_1,1,Musungwa_1_1,,-15.897394,26.093142
vonFromm_2022,Musungwa_2,1,Musungwa_2_1,,-15.867407,26.098539
vonFromm_2022,Musungwa_5,1,Musungwa_5_1,,-15.896971,26.115347
vonFromm_2022,Musungwa_13,1,Musungwa_13_1,,-15.89698167,26.166365
vonFromm_2022,,5,,,-19.025532,46.640183
vonFromm_2022,,8,,,-19.023296,46.640384
vonFromm_2022,,11,,,-19.02658,46.634228
vonFromm_2022,,6,,,-19.003005,46.629493
vonFromm_2022,,2,,,-18.980252,46.634883
vonFromm_2022,,2,,,-18.95421,46.639697
vonFromm_2022,,8,,,-18.962023,46.63595
vonFromm_2022,,10,,,-18.957634,46.632403
vonFromm_2022,,2,,,-19.001199,46.65776
vonFromm_2022,,9,,,-18.999384,46.660293
vonFromm_2022,,9,,,-18.97778,46.660746
vonFromm_2022,,6,,,-18.958693,46.652397
vonFromm_2022,,4,,,-19.020066,46.676483
vonFromm_2022,,9,,,-19.017739,46.679666
vonFromm_2022,,5,,,-19.006775,46.678734
vonFromm_2022,,6,,,-18.955873,46.684407
vonFromm_2022,,14,,,-19.018618,46.708536
vonFromm_2022,,4,,,-19.011172,46.700807
vonFromm_2022,,6,,,-19.004856,46.704284
vonFromm_2022,,7,,,-18.981098,46.70011
vonFromm_2022,,10,,,-18.982985,46.702414
vonFromm_2022,,4,,,-18.956841,46.708034
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
