"MAT","Longitude","Latitude","MAP","PET","ClimateZone","soc_0.5cm","soc_5.15cm","soc_15.30cm","soc_30.60cm","dataset"
23.6875,24.3458333333333,-5.7208333333333,1468,1487,"tropical",23.6000003814697,19.1000003814697,9.80000019073486,5.59999990463257,"global"
26.0041656494141,-57.1791666666667,-7.8458333333333,2207,1333,"tropical",28.2000007629395,18.1000003814697,11.6000003814697,7.30000019073486,"global"
21.25,-48.3375,-16.4958333333333,1558,1550,"tropical",24.8999996185303,20.6000003814697,15,9.80000019073486,"global"
4.54583311080933,-102.3625,48.0708333333334,432,1198,"cold temperate",51.7999992370605,24.6000003814697,14,8.5,"global"
-12.9416666030884,-103.029166666667,67.2791666666667,157,374,"cold temperate",90,70.1999969482422,65.6999969482422,57.0999984741211,"global"
-10.8333330154419,124.8875,64.3291666666667,274,629,"cold temperate",189.5,154,105.400001525879,95.5999984741211,"global"
27.3208332061768,-7.58750000000001,12.0375,956,2419,"tropical",13.3999996185303,9.19999980926514,6.09999990463257,4.09999990463257,"global"
8.5625,-68.5708333333333,-42.6041666666666,191,1761,"arid",12.6000003814697,10.3999996185303,10.1000003814697,11.3999996185303,"global"
26.3916664123535,115.604166666667,-1.54583333333331,2590,1517,"tropical",62.0999984741211,54.4000015258789,57.0999984741211,58.4000015258789,"global"
26.154167175293,87.5458333333333,22.9625,1236,1783,"tropical",21.2999992370605,13.1000003814697,8.89999961853027,7.19999980926514,"global"
23.5125007629395,22.8125,23.5208333333334,2,3364,"arid",3.79999995231628,3.90000009536743,2.59999990463257,2,"global"
26.408332824707,103.120833333333,-2.52916666666664,2851,1524,"tropical",85.0999984741211,78.9000015258789,90.9000015258789,100.5,"global"
26.6458339691162,68.8375,28.1541666666667,87,2363,"arid",7.69999980926514,6.19999980926514,4.90000009536743,4.09999990463257,"global"
20.8666667938232,-46.4708333333333,-20.6291666666666,1514,1404,"warm temperate",21.7000007629395,18.5,13.5,9.69999980926514,"global"
25.8166656494141,-73.5041666666667,-10.6708333333333,1592,1344,"tropical",51.4000015258789,40,22.2000007629395,14.1000003814697,"global"
-5.125,117.704166666667,59.7958333333334,316,675,"cold temperate",126.800003051758,80.0999984741211,46.5,41.5,"global"
-1.64583337306976,100.754166666667,47.2875,285,913,"cold temperate",42.5999984741211,29.8999996185303,21.3999996185303,13.3000001907349,"global"
24.720832824707,-36.8791666666667,-10.4375,1124,1661,"tropical",33.7999992370605,18.7999992370605,13.3000001907349,9,"global"
16.2250003814697,-66.5291666666667,-34.6791666666666,396,1770,"arid",9.10000038146973,6.90000009536743,4.90000009536743,4.19999980926514,"global"
7.97083330154419,-108.2375,45.8625,389,1488,"arid",26.1000003814697,16.7000007629395,9.80000019073486,6,"global"
-25.8583335876465,-56.5958333333333,77.6541666666667,249,29,"tundra/polar",NA,NA,NA,NA,"global"
-0.887499928474426,108.104166666667,53.5125,243,717,"cold temperate",NA,NA,NA,NA,"global"
0.0583334676921368,81.6541666666666,56.1541666666667,443,798,"cold temperate",66.9000015258789,52.0999984741211,37.2000007629395,37.2000007629395,"global"
25.1124992370605,37.0375,2.6541666666667,266,2156,"arid",8.5,7.19999980926514,6.69999980926514,5.30000019073486,"global"
3.19583344459534,34.5708333333333,61.6541666666667,599,678,"cold temperate",242.899993896484,126.099998474121,40.2999992370605,23.7999992370605,"global"
23.3833332061768,13.9375,5.1541666666667,1524,1501,"tropical",32.9000015258789,23.2000007629395,12.1999998092651,8.19999980926514,"global"
3.48750019073486,-113.8375,51.0958333333334,419,1090,"cold temperate",48.7999992370605,24.2999992370605,13.6000003814697,9.69999980926514,"global"
5.62916660308838,-108.379166666667,41.1375,236,1476,"arid",11.8999996185303,10.8000001907349,7.5,6.59999990463257,"global"
0.0625000298023224,-106.570833333333,54.5958333333334,482,812,"cold temperate",20.2999992370605,30.1000003814697,27.3999996185303,32.2999992370605,"global"
13.0708332061768,47.8208333333333,37.2625,287,1716,"arid",15,5.40000009536743,7.80000019073486,3.29999995231628,"global"
24.9916667938232,21.4958333333333,-3.56249999999997,1785,1282,"tropical",34.2000007629395,24.7000007629395,17.7000007629395,12.1000003814697,"global"
2.83750009536743,73.8458333333333,53.4041666666667,302,989,"arid",NA,NA,NA,NA,"global"
-3.69583344459534,122.3125,53.4875,421,779,"cold temperate",100.5,56.9000015258789,22,19.6000003814697,"global"
20.4583339691162,-82.2875,29.4791666666667,1337,1637,"warm temperate",43.0999984741211,18.2999992370605,11.8999996185303,7.59999990463257,"global"
19.8999996185303,14.0708333333333,-18.4625,352,2257,"arid",8.69999980926514,6.90000009536743,6.90000009536743,6.69999980926514,"global"
26.3208332061768,25.6125,9.03750000000002,930,2065,"tropical",20.8999996185303,16.3999996185303,6.90000009536743,4.69999980926514,"global"
26.7999992370605,-55.8625,-1.15416666666664,2473,1517,"tropical",38.0999984741211,25.6000003814697,36.5999984741211,17.3999996185303,"global"
24.2124996185303,23.2458333333333,8.81250000000003,1004,2027,"tropical",21.3999996185303,14.5,7.40000009536743,5.59999990463257,"global"
21.029167175293,-115.8875,34.1125,103,2982,"arid",1.79999995231628,1.39999997615814,1.39999997615814,1.10000002384186,"global"
14.9541664123535,116.8625,33.9708333333334,698,1441,"warm temperate",14,8.69999980926514,7.09999990463257,5.19999980926514,"global"
25.6499996185303,76.6625,26.4625,679,2167,"arid",9.80000019073486,7.90000009536743,6.5,5.59999990463257,"global"
18.5375003814697,101.620833333333,3.78750000000002,2763,1090,"tropical",89.5999984741211,70,41,28.7000007629395,"global"
