regr_rmse,regr_mse,regr_rsq
1.46989912858983,2.1606034482291414,0.5434685903523361
1.3907142559945287,1.9340861418264155,0.58838985624207
1.6277209364259968,2.649475446879524,0.572524031060438
1.5995126225333252,2.5584406296434357,0.1340452709317007
1.4443651530706159,2.0861906954047034,0.14923152989388921
1.4693625935350234,2.1590264312799703,0.5339850298560737
1.8710988902846806,3.501011057224563,0.5963411415193034
1.5489606143890473,2.399278984928495,0.38627058256130187
1.019216591739073,1.0388024608762123,0.7622285933458554
2.0238042588430445,4.095783678111245,-0.07523320125577126
