regr_rmse,regr_mse,regr_rsq
115.43871002929944,13326.095773228679,0.5324612467139074
93.07233095051824,8662.458788562795,0.6036142584937924
93.56102416824616,8753.665243411144,0.6777356849945126
109.52162842924064,11994.98709379265,0.5645081014969666
117.48361586068647,13802.39999570134,0.5775473152840209
115.51108622696533,13342.81104133342,0.4040594072657433
109.35585819430364,11958.703721412645,0.5853180793259543
143.3532332051466,20550.149470369146,0.5042397633681414
144.71770387107514,20943.2138137162,0.4374247923313176
122.04538186203679,14895.075233850379,0.523633330859389
