"MAT","Longitude","Latitude","MAP","PET","ClimateZone","dataset"
23.6875,24.3458333333333,-5.7208333333333,1468,1487,"tropical","global"
26.0041656494141,-57.1791666666667,-7.8458333333333,2207,1333,"tropical","global"
21.25,-48.3375,-16.4958333333333,1558,1550,"tropical","global"
4.54583311080933,-102.3625,48.0708333333334,432,1198,"cold temperate","global"
-12.9416666030884,-103.029166666667,67.2791666666667,157,374,"cold temperate","global"
-10.8333330154419,124.8875,64.3291666666667,274,629,"cold temperate","global"
27.3208332061768,-7.58750000000001,12.0375,956,2419,"tropical","global"
8.5625,-68.5708333333333,-42.6041666666666,191,1761,"arid","global"
26.3916664123535,115.604166666667,-1.54583333333331,2590,1517,"tropical","global"
26.154167175293,87.5458333333333,22.9625,1236,1783,"tropical","global"
23.5125007629395,22.8125,23.5208333333334,2,3364,"arid","global"
26.408332824707,103.120833333333,-2.52916666666664,2851,1524,"tropical","global"
26.6458339691162,68.8375,28.1541666666667,87,2363,"arid","global"
20.8666667938232,-46.4708333333333,-20.6291666666666,1514,1404,"warm temperate","global"
25.8166656494141,-73.5041666666667,-10.6708333333333,1592,1344,"tropical","global"
-5.125,117.704166666667,59.7958333333334,316,675,"cold temperate","global"
-1.64583337306976,100.754166666667,47.2875,285,913,"cold temperate","global"
24.720832824707,-36.8791666666667,-10.4375,1124,1661,"tropical","global"
16.2250003814697,-66.5291666666667,-34.6791666666666,396,1770,"arid","global"
7.97083330154419,-108.2375,45.8625,389,1488,"arid","global"
-25.8583335876465,-56.5958333333333,77.6541666666667,249,29,"tundra/polar","global"
-0.887499928474426,108.104166666667,53.5125,243,717,"cold temperate","global"
0.0583334676921368,81.6541666666666,56.1541666666667,443,798,"cold temperate","global"
25.1124992370605,37.0375,2.6541666666667,266,2156,"arid","global"
3.19583344459534,34.5708333333333,61.6541666666667,599,678,"cold temperate","global"
23.3833332061768,13.9375,5.1541666666667,1524,1501,"tropical","global"
3.48750019073486,-113.8375,51.0958333333334,419,1090,"cold temperate","global"
5.62916660308838,-108.379166666667,41.1375,236,1476,"arid","global"
0.0625000298023224,-106.570833333333,54.5958333333334,482,812,"cold temperate","global"
13.0708332061768,47.8208333333333,37.2625,287,1716,"arid","global"
24.9916667938232,21.4958333333333,-3.56249999999997,1785,1282,"tropical","global"
2.83750009536743,73.8458333333333,53.4041666666667,302,989,"arid","global"
-3.69583344459534,122.3125,53.4875,421,779,"cold temperate","global"
20.4583339691162,-82.2875,29.4791666666667,1337,1637,"warm temperate","global"
19.8999996185303,14.0708333333333,-18.4625,352,2257,"arid","global"
26.3208332061768,25.6125,9.03750000000002,930,2065,"tropical","global"
26.7999992370605,-55.8625,-1.15416666666664,2473,1517,"tropical","global"
24.2124996185303,23.2458333333333,8.81250000000003,1004,2027,"tropical","global"
21.029167175293,-115.8875,34.1125,103,2982,"arid","global"
14.9541664123535,116.8625,33.9708333333334,698,1441,"warm temperate","global"
25.6499996185303,76.6625,26.4625,679,2167,"arid","global"
18.5375003814697,101.620833333333,3.78750000000002,2763,1090,"tropical","global"
-2.00416660308838,-115.879166666667,51.1208333333334,853,837,"tundra/polar","global"
22.7041664123535,-52.2375,-17.2458333333333,1627,1584,"tropical","global"
-14.5083332061768,-94.3375,67.8041666666667,187,311,"tundra/polar","global"
22.654167175293,29.1125,-3.19583333333331,1147,1597,"tropical","global"
2.07916665077209,15.4041666666667,62.9708333333334,592,574,"cold temperate","global"
-16.6416664123535,-101.070833333333,72.4625,96,216,"tundra/polar","global"
24.6708335876465,36.7958333333333,19.0208333333334,86,2569,"arid","global"
13.0625,151.4625,-30.1541666666666,860,1535,"warm temperate","global"
-5.88749980926514,177.8375,62.8875,577,458,"tundra/polar","global"
16.658332824707,-8.54583333333335,38.5125,644,1494,"warm temperate","global"
20.3583335876465,146.420833333333,-24.8041666666666,518,2311,"arid","global"
2.875,-76.7458333333333,-10.8541666666666,828,968,"tundra/polar","global"
-4.94166660308838,-74.9791666666667,57.4791666666667,545,496,"cold temperate","global"
-10.154167175293,99.9208333333333,64.7458333333334,387,525,"cold temperate","global"
19.6749992370605,15.6291666666667,-11.0708333333333,1297,1639,"warm temperate","global"
-1.25833332538605,100.045833333333,56.2125,369,733,"cold temperate","global"
-2.33333325386047,96.1375,57.7291666666667,441,712,"cold temperate","global"
21.9333324432373,97.2625,25.9875,2842,1373,"warm temperate","global"
-8.28333377838135,91.4125,64.6375,570,513,"cold temperate","global"
16.3166656494141,56.2375,39.5041666666667,146,1983,"arid","global"
2.91249990463257,-92.0791666666667,47.5375,730,868,"cold temperate","global"
-12.7250003814697,157.654166666667,65.0791666666667,243,515,"cold temperate","global"
5.70416641235352,-72.5875,43.5708333333334,1202,944,"cold temperate","global"
0.933333337306976,-16.6208333333333,65.6958333333334,530,527,"tundra/polar","global"
-4.4375,-150.504166666667,65.6625,396,578,"cold temperate","global"
-14.5833330154419,-54.1875,73.5791666666667,214,220,"tundra/polar","global"
-15.8000001907349,105.720833333333,76.2458333333334,238,229,"tundra/polar","global"
20.2583332061768,43.8625,9.57916666666669,481,2401,"arid","global"
-6.10416698455811,61.4625,68.0041666666667,489,442,"cold temperate","global"
15.029167175293,-66.0458333333333,-39.6125,301,2003,"arid","global"
-3.52499985694885,-116.470833333333,61.6541666666667,297,685,"cold temperate","global"
30.4874992370605,-12.8541666666667,16.1625,245,3159,"arid","global"
7.5625,28.9875,48.4875,579,938,"cold temperate","global"
17.0874996185303,22.9291666666667,36.7958333333334,549,1634,"warm temperate","global"
